household_id,distributor_id,pincode,last_booking_date,request_date,days_since_last_booking,is_bpl,urgency,crisis_level,cylinders_requested,stock_at_distributor,queue_position,location_changes_30d,booking_gap_days,target_priority_score,target_expected_wait_hours
hh-000001,dist-4,400001,13-03-2026,17-03-2026,15,1,regular,normal,1,147,12,0,15,61.76,7.66
hh-000002,dist-20,400001,24-02-2026,25-02-2026,32,0,regular,normal,1,79,104,1,30,55.83,25.7
hh-000003,dist-7,431001,28-02-2026,04-03-2026,28,0,medical,normal,1,19,94,0,27,83.85,26.11
hh-000004,dist-10,416001,08-02-2026,11-02-2026,48,0,regular,normal,1,66,99,0,47,61.93,23.91
hh-000005,dist-9,422001,06-03-2026,09-03-2026,22,0,regular,normal,1,173,10,0,20,47.07,8
hh-000006,dist-13,431001,09-02-2026,13-02-2026,47,0,regular,normal,1,22,30,1,42,55.8,15.94
hh-000007,dist-11,411001,22-02-2026,26-02-2026,34,0,regular,alert,1,71,96,0,30,62.92,23.72
hh-000008,dist-13,431001,14-03-2026,17-03-2026,14,0,bpl,normal,1,36,20,0,4,48.72,13.6
hh-000009,dist-20,422001,23-03-2026,24-03-2026,5,0,regular,alert,1,145,97,0,0,28.21,28.2
hh-000010,dist-15,400001,20-02-2026,22-02-2026,36,0,regular,normal,1,35,112,0,26,54.34,31.3
hh-000011,dist-6,440001,15-02-2026,19-02-2026,41,0,regular,alert,1,36,119,0,37,63.2,33.1
hh-000012,dist-3,400001,18-02-2026,21-02-2026,38,0,regular,emergency,1,176,61,2,36,68.23,19.77
hh-000013,dist-7,440001,25-02-2026,27-02-2026,31,0,regular,normal,1,103,57,1,24,59.07,17.41
hh-000014,dist-1,440001,08-02-2026,13-02-2026,48,0,regular,normal,1,25,116,0,43,59.66,32.8
hh-000015,dist-16,411001,16-02-2026,19-02-2026,40,0,regular,alert,1,129,104,0,39,66.48,26.39
hh-000016,dist-14,422001,12-02-2026,13-02-2026,44,1,regular,normal,1,94,103,1,41,78.78,26.03
hh-000017,dist-14,411001,23-02-2026,24-02-2026,33,1,bpl,alert,1,148,13,0,25,100,1.21
hh-000018,dist-6,422001,16-03-2026,21-03-2026,12,1,regular,normal,1,107,34,1,5,53.64,14.77
hh-000019,dist-18,416001,11-01-2026,15-01-2026,76,1,regular,normal,1,146,8,0,76,81.33,5.62
hh-000020,dist-6,400001,15-02-2026,19-02-2026,41,1,regular,normal,1,68,52,0,32,77.13,17.56
hh-000021,dist-3,422001,04-03-2026,06-03-2026,24,0,regular,normal,1,88,31,0,22,51.4,11.09
hh-000022,dist-3,400001,15-03-2026,16-03-2026,13,0,regular,emergency,1,75,17,2,12,50.79,9.25
hh-000023,dist-15,440001,11-02-2026,11-02-2026,45,0,regular,emergency,1,149,39,2,44,70.99,11.82
hh-000024,dist-4,416001,07-02-2026,07-02-2026,49,1,regular,normal,1,170,110,0,42,76.94,29.12
hh-000025,dist-3,416001,03-02-2026,03-02-2026,53,1,bpl,normal,1,75,21,0,45,87.59,6.24
hh-000026,dist-3,416001,16-02-2026,17-02-2026,40,0,regular,alert,1,40,6,0,40,65.21,8.37
hh-000027,dist-4,431001,13-02-2026,18-02-2026,43,0,regular,normal,1,68,111,0,41,57.66,28.68
hh-000028,dist-11,422001,04-03-2026,07-03-2026,24,0,regular,alert,1,35,49,1,17,60.27,21
hh-000029,dist-12,431001,11-02-2026,16-02-2026,45,0,regular,normal,1,79,111,0,41,54.17,29.97
hh-000030,dist-18,431001,08-03-2026,11-03-2026,20,1,regular,emergency,2,75,5,0,14,75.02,8.07
hh-000031,dist-20,440001,18-03-2026,23-03-2026,10,0,medical,normal,1,141,119,1,0,53.74,27.08
hh-000032,dist-7,431001,13-02-2026,16-02-2026,43,0,bpl,alert,1,39,93,1,35,73.51,27.21
hh-000033,dist-10,440001,10-02-2026,11-02-2026,46,0,medical,emergency,2,165,73,0,38,93.71,16
hh-000034,dist-14,440001,10-02-2026,10-02-2026,46,0,regular,normal,1,51,85,0,38,54.14,23.22
hh-000035,dist-8,416001,18-03-2026,19-03-2026,10,1,bpl,normal,2,164,109,0,3,59.16,28.15
hh-000036,dist-13,422001,22-01-2026,25-01-2026,65,1,bpl,normal,1,35,100,0,63,91.06,23.83
hh-000037,dist-2,440001,31-01-2026,04-02-2026,56,1,bpl,normal,1,151,77,0,49,84.16,17.11
hh-000038,dist-14,440001,23-02-2026,26-02-2026,33,1,bpl,alert,1,171,36,0,25,92.06,9.94
hh-000039,dist-3,416001,18-02-2026,22-02-2026,38,1,bpl,normal,1,67,50,0,35,92.76,14.56
hh-000040,dist-15,422001,03-02-2026,05-02-2026,53,0,medical,normal,2,13,110,1,44,79.68,30.36
hh-000041,dist-10,422001,05-02-2026,08-02-2026,51,0,regular,normal,1,162,115,0,48,56.34,30.2
hh-000042,dist-11,416001,22-02-2026,22-02-2026,34,0,regular,normal,1,167,69,0,28,52.06,18.43
hh-000043,dist-14,411001,01-03-2026,03-03-2026,27,1,regular,normal,1,94,98,1,23,77.1,20.6
hh-000044,dist-3,422001,28-02-2026,01-03-2026,28,0,medical,emergency,1,174,6,0,25,92.25,4.11
hh-000045,dist-8,411001,22-02-2026,24-02-2026,34,1,regular,emergency,1,102,22,0,33,89.42,6.36
hh-000046,dist-4,440001,13-01-2026,15-01-2026,74,0,medical,normal,1,58,10,0,64,80.28,9.81
